author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
VESPER;developer;https://www.cian.ru/sale/flat/307211222/;Москва;sale;flat;8;9;1;57.6;117936000;2023;-1;Монолитный;-1;Без отделки, чистовая с мебелью;-1;-1;+74951387184;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
ID 12530791;unknown;https://www.cian.ru/sale/flat/303761506/;Москва;sale;flat;38;78;1;58.0;58500000;2020;-1;-1;-1;-1;-1;-1;+79651189398;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
ID 93236063;homeowner;https://www.cian.ru/sale/flat/308417143/;Москва;sale;flat;3;12;1;37.0;15890000;2005;-1;-1;-1;-1;18 м²;9 м²;+79167860122;Академический; Винокурова;2;Академическая;
СТ Тауэрс;developer;https://www.cian.ru/sale/flat/308317439/;Москва;sale;flat;39;66;1;50.2;47439000;2020;-1;Монолитный;-1;Без отделки, чистовая;-1;-1;+74951370624;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
КРОСТ;developer;https://www.cian.ru/sale/flat/307989250/;Москва;sale;flat;41;47;1;43.2;22723200;2023;-1;Монолитный;-1;Без отделки;14,8 м²;13 м²;+74997153994;Хорошево-Мневники; Генерала Глаголева;14Ак1;Народное Ополчение;CRYSTAL Трилогия
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/305694039/;Москва;sale;flat;22;22;1;19.4;8880000;1980;-1;-1;-1;-1;14 м²;4 м²;+79150355249;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
Центр-Инвест;representative_developer;https://www.cian.ru/sale/flat/305011086/;Москва;sale;flat;8;15;1;40.6;26390236;2022;-1;Монолитный;-1;Без отделки;16,6 м²;11,4 м²;+74951347281;Раменки;Винницкая ;8к3;Раменки;Настоящее
Метражи group;real_estate_agent;https://www.cian.ru/sale/flat/305280029/;Москва;sale;flat;11;12;1;35.0;10200000;1969;-1;-1;-1;-1;20 м²;10 м²;+79652450524;Рязанский;1-я Новокузьминская ;14;Рязанский проспект;
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/304056770/;Москва;sale;flat;21;21;1;47.7;13650058;2024;-1;Панельный, монолитный;-1;Без отделки, чистовая;15,4 м²;-1;+74951475836;;;к1;Рассказовка;Город-парк Первый Московский
SPENСER ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/308442652/;Москва;sale;flat;2;12;1;37.0;8100000;-1;-1;-1;-1;-1;23 м²;10 м²;+79060414026;; Харлампиева;50к3;Филатов Луг;
Самолет;developer;https://www.cian.ru/sale/flat/308655476/;Москва;sale;flat;10;18;1;36.07;7837772;2024;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;10,5 м²;17,4 м²;+74999228924;;;к8;Филатов Луг;Цветочные Поляны ЖК
Самолет;developer;https://www.cian.ru/sale/flat/308649169/;Москва;sale;flat;7;8;1;35.89;8556701;2024;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, чистовая;11,6 м²;9,9 м²;+74951378825;;;к21;Рассказовка;Новое Внуково ЖК
Самолет;developer;https://www.cian.ru/sale/flat/308655333/;Москва;sale;flat;8;16;1;42.5;8930292;2024;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;13,9 м²;13,2 м²;+74999228924;;;4-5;Филатов Луг;Цветочные Поляны
Самолет;developer;https://www.cian.ru/sale/flat/308648876/;Москва;sale;flat;10;10;1;40.53;9274570;2024;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, чистовая;10,8 м²;20,9 м²;+74951378825;;;к17;Рассказовка;Новое Внуково ЖК
ID 13412164;homeowner;https://www.cian.ru/sale/flat/308917438/;Москва;sale;flat;6;17;1;39.0;10000000;2012;-1;-1;-1;-1;18 м²;8,2 м²;+79660543804;Некрасовка;проспект Защитников Москвы;1;Некрасовка;
