author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
VESPER;developer;https://www.cian.ru/sale/flat/307211222/;Москва;sale;flat;8;9;1;57.6;117936000;2023;-1;Монолитный;-1;Без отделки, чистовая с мебелью;-1;-1;+74951387184;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
ID 85604823;unknown;https://www.cian.ru/sale/flat/305768574/;Москва;sale;flat;6;42;1;42.0;29000000;2023;-1;-1;-1;-1;15 м²;12 м²;+79647714670;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/308552017/;Москва;sale;flat;5;12;1;35.0;9500000;1969;-1;-1;-1;-1;19,8 м²;9,8 м²;+79152322394;Богородское;1-я Гражданская ;99К1;Преображенская площадь;
VESPER;developer;https://www.cian.ru/sale/flat/306541560/;Москва;sale;flat;5;21;1;65.9;82172522;2023;-1;Монолитный;-1;Чистовая, чистовая с мебелью;18,8 м²;24,9 м²;+74951347641;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
ID 85604823;unknown;https://www.cian.ru/sale/flat/307014462/;Москва;sale;flat;6;42;1;42.0;29000000;2023;-1;-1;-1;-1;17 м²;11 м²;+79647714670;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/308789447/;Москва;sale;flat;11;12;1;33.5;8000000;1972;-1;-1;-1;-1;17 м²;7 м²;+79163568699;Чертаново Южное;3-й Дорожный проезд;6К1;Улица Академика Янгеля;
Главстрой;developer;https://www.cian.ru/sale/flat/296921064/;Москва;sale;flat;2;16;1;45.0;23274675;2024;-1;Монолитно-кирпичный;-1;Без отделки;16,4 м²;14,6 м²;+74951379308;Филевский парк;Береговой проезд;2;Фили;Береговой-2
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/299890518/;Москва;sale;flat;9;40;1;41.5;32000000;-1;-1;-1;-1;-1;23,4 м²;4,9 м²;+79646331510;Хорошевский;Ленинградский проспект;37/4;ЦСКА;Прайм Парк
ID 123328834;homeowner;https://www.cian.ru/sale/flat/308676848/;Москва;sale;flat;6;14;1;36.0;13700000;1976;-1;-1;-1;-1;20 м²;10 м²;+79857951868;Перово;Мартеновская ;11/12;Новогиреево;
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/306243017/;Москва;sale;flat;2;27;1;45.7;21798900;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;26,8 м²;7,8 м²;+74951387097;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/301550653/;Москва;sale;flat;13;41;1;41.5;31000000;-1;-1;-1;-1;-1;23,4 м²;4,9 м²;+79646331510;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/306951824/;Москва;sale;flat;5;21;1;21.66;5500000;2020;-1;-1;-1;Чистовая;16 м²;4 м²;+79150355249;Тропарево-Никулино;Востряковское шоссе;7с3;Озёрная;Комплекс апартаментов CITIMIX
MR Group;developer;https://www.cian.ru/sale/flat/300288940/;Москва;sale;flat;37;54;1;38.99;19328123;2025;-1;Монолитный;-1;Предчистовая, чистовая;13,7 м²;-1;+74951374843;Савеловский;2-я Хуторская ;34;Дмитровская;SYMPHONY 34
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/307496200/;Москва;sale;flat;1;10;1;31.0;14500000;-1;-1;-1;-1;-1;20 м²;6 м²;+79856120994;Раменки;Мичуринский проспект;10К1;Ломоносовский проспект;
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/306448085/;Москва;sale;flat;9;16;1;19.0;6000000;1980;-1;-1;-1;-1;14 м²;3 м²;+79175822386;Отрадное;Алтуфьевское шоссе;2;Владыкино;
MR Group;developer;https://www.cian.ru/sale/flat/306611541/;Москва;sale;flat;2;59;1;30.4;;2028;-1;Монолитно-кирпичный;-1;Предчистовая;9,7 м²;-1;+74951370518;Можайский;;;Давыдково;Веер ЖК
Среда;developer;https://www.cian.ru/sale/flat/303859440/;Москва;sale;flat;3;13;1;35.3;14768813;2027;-1;Монолитный;-1;Предчистовая;21,1 м²;-1;+74997154155;Очаково-Матвеевское;Очаково мкр;;Аминьевская;Среда на Лобачевского
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/307430903/;Москва;sale;flat;4;15;1;53.36;13950000;2015;-1;-1;-1;-1;21,4 м²;11,4 м²;+79164725525;; Татьянин Парк;16к1;Говорово;
