author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/306875192/;Москва;sale;flat;6;6;2;96.0;257000000;-1;-1;-1;-1;-1;55 м²;15,9 м²;+79660615407;Хамовники; Льва Толстого;23к1;Парк Культуры;Литератор
Арт Риэлти;real_estate_agent;https://www.cian.ru/sale/flat/306756745/;Москва;sale;flat;18;27;2;60.0;23000000;-1;-1;-1;-1;-1;36 м²;16 м²;+79645655918;Лефортово; Крузенштерна;10к1;Авиамоторная;Символ
Prime Life Development;developer;https://www.cian.ru/sale/flat/306733065/;Москва;sale;flat;2;28;2;58.18;26274768;2025;-1;Монолитный;-1;Без отделки, предчистовая, черновая;-1;-1;+74951379049;Нагатино-Садовники;Нагатинская ;к1вл1;Нагатинская;Первый Нагатинский
ЕСН;real_estate_agent;https://www.cian.ru/sale/flat/307301450/;Москва;sale;flat;6;48;2;50.3;30200000;-1;-1;-1;-1;-1;26,1 м²;10,7 м²;+79636880955;Ростокино; Вильгельма Пика;1;Ботанический сад;
Арт Риэлти;real_estate_agent;https://www.cian.ru/sale/flat/300226524/;Москва;sale;flat;10;46;2;46.0;24300000;2023;-1;-1;-1;-1;20 м²;10 м²;+79154419042;Хорошево-Мневники;Шелепихинская набережная;34к6;Шелепиха;Сердце Столицы
Stenoy;developer;https://www.cian.ru/sale/flat/300878826/;Москва;sale;flat;4;12;2;50.4;26053070;2026;-1;Монолитно-кирпичный;-1;Без отделки, черновая, чистовая;21 м²;16 м²;+74997155851;Преображенское;Электрозаводская ;60;Преображенская площадь;ARTEL
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303688290/;Москва;sale;flat;9;20;2;71.8;57000000;-1;-1;-1;-1;-1;13 м²;32 м²;+79660504300;Пресненский;Мантулинская ;9к4;Москва-Сити;City Park
Группа Аквилон;developer;https://www.cian.ru/sale/flat/299730224/;Москва;sale;flat;4;28;2;60.31;17344823;2027;-1;Монолитно-кирпичный;-1;Предчистовая;26,4 м²;14 м²;+74951377153;Нижегородский;;;Нижегородская;Аквилон Бисайд 2.0 ЖК
ФСК;developer;https://www.cian.ru/sale/flat/296396724/;Москва;sale;flat;9;29;2;46.2;24949848;2025;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, чистовая;13,2 м²;6,2 м²;+74951387224;Нагатино-Садовники;Варшавское шоссе;37Ак2;Нагатинская;Rotterdam
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/303346495/;Москва;sale;flat;6;28;2;53.0;28500000;2019;-1;-1;-1;-1;-1;-1;+79060436264;Филевский парк; Василисы Кожиной;13;Багратионовская;Квартал апартаментов Match Point
